Customer ID,Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Churn Status (Yes/No),Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created,,
C00001,12,10,4.85,4,Tablet,Action,Europe,On-Time,Basic,No,10,33,6250,5,2,,
C00002,12,8,1.75,9,Laptop,Thriller,Europe,On-Time,Basic,Yes,9,28,7018,1,5,,10
C00003,3,4,2.75,9,Smart TV,Comedy,Asia,On-Time,Premium,Yes,3,18,1055,1,5,,
C00004,3,7,3,9,Smart TV,Drama,Europe,Delayed,Premium,No,5,32,6707,5,4,,
C00005,24,2,1.37,5,Mobile,Drama,North America,On-Time,Standard,Yes,2,59,1506,3,5,,
C00006,3,4,4.95,3,Tablet,Romance,Africa,Delayed,Basic,Yes,7,69,5581,4,3,,
C00007,12,4,0.71,3,Tablet,Thriller,Africa,Delayed,Standard,No,3,25,2238,2,3,,
C00008,6,5,3.54,2,Laptop,Romance,South America,On-Time,Standard,Yes,4,49,3630,5,3,,
C00009,6,9,3.79,1,Laptop,Drama,Africa,On-Time,Basic,Yes,6,27,4535,1,4,,
C00010,3,6,3.61,6,Laptop,Action,North America,On-Time,Premium,No,0,56,7395,2,1,,
C00011,1,9,2.88,9,Laptop,Sci-Fi,North America,Delayed,Basic,No,3,27,1660,0,2,,
C00012,6,7,0.78,6,Desktop,Thriller,Europe,On-Time,Basic,No,3,44,9436,0,5,,
C00013,3,3,1.17,9,Laptop,Romance,Asia,Delayed,Premium,No,8,70,4582,0,3,,
C00014,1,2,2.7,3,Tablet,Comedy,South America,Delayed,Standard,No,5,62,3258,2,1,,
C00015,6,3,2.01,6,Smart TV,Romance,Asia,Delayed,Premium,Yes,7,36,7283,2,1,,
C00016,3,1,0.77,10,Tablet,Sci-Fi,Africa,On-Time,Premium,Yes,5,27,4807,4,5,,
C00017,6,2,0.78,2,Laptop,Drama,Asia,Delayed,Basic,Yes,10,43,9913,3,1,,
C00018,3,3,4.82,2,Laptop,Action,Africa,On-Time,Standard,No,3,60,7265,5,3,,
C00019,1,9,1.08,7,Smart TV,Sci-Fi,Asia,Delayed,Basic,Yes,9,56,1229,0,4,,
C00020,6,2,4.27,9,Desktop,Romance,Europe,Delayed,Basic,Yes,6,48,6091,4,2,,
C00021,6,3,4.91,3,Tablet,Action,Asia,On-Time,Premium,Yes,3,70,5614,0,4,,
C00022,12,4,3.56,6,Tablet,Drama,Africa,On-Time,Basic,Yes,6,44,8947,3,4,,
C00023,24,7,0.81,1,Desktop,Documentary,North America,On-Time,Premium,Yes,7,67,6720,3,5,,
C00024,24,5,3.36,8,Tablet,Sci-Fi,Asia,On-Time,Standard,No,0,43,6368,1,5,,
C00025,6,2,3.11,5,Laptop,Romance,Africa,Delayed,Premium,No,4,55,7359,0,5,,
C00026,1,6,0.77,10,Smart TV,Thriller,North America,Delayed,Basic,No,5,64,3295,5,1,,
C00027,24,9,4.4,3,Desktop,Drama,Europe,Delayed,Standard,No,9,36,8345,2,1,,
C00028,3,2,2.11,10,Smart TV,Thriller,North America,Delayed,Standard,No,0,23,8582,5,3,,
C00029,12,10,0.92,9,Laptop,Drama,Africa,Delayed,Basic,Yes,6,26,7472,2,1,,
C00030,1,7,2.07,9,Laptop,Drama,Asia,Delayed,Basic,Yes,10,43,6153,0,5,,
C00031,12,8,1.41,1,Desktop,Action,Africa,On-Time,Premium,Yes,7,20,6097,1,5,,
C00032,12,6,3.77,2,Tablet,Sci-Fi,Africa,Delayed,Premium,Yes,8,56,3059,1,2,,
C00033,3,9,3.48,6,Desktop,Documentary,Europe,On-Time,Premium,No,8,25,9767,1,2,,
C00034,12,4,4.97,6,Laptop,Romance,Asia,Delayed,Premium,No,6,70,2928,0,3,,
C00035,3,10,1.68,1,Desktop,Sci-Fi,Europe,Delayed,Standard,Yes,3,37,7751,0,1,,
C00036,6,1,3.03,5,Desktop,Sci-Fi,South America,On-Time,Basic,Yes,6,48,4277,4,5,,
C00037,3,2,1.93,6,Mobile,Thriller,North America,On-Time,Basic,Yes,9,25,6098,1,4,,
C00038,6,1,1.61,3,Desktop,Documentary,Africa,Delayed,Basic,No,6,69,6014,5,3,,
C00039,6,6,4.93,9,Laptop,Romance,Africa,On-Time,Premium,No,4,42,8933,5,2,,
C00040,1,6,5,5,Mobile,Drama,South America,On-Time,Basic,No,1,30,1645,1,2,,
C00041,1,5,1.04,4,Tablet,Romance,North America,Delayed,Standard,Yes,1,57,1689,1,5,,
C00042,24,4,4.7,8,Tablet,Drama,Asia,Delayed,Standard,Yes,3,37,2406,4,5,,
C00043,6,3,2.68,10,Laptop,Comedy,South America,Delayed,Premium,No,5,27,5419,4,2,,
C00044,12,3,2.6,9,Laptop,Documentary,Asia,Delayed,Premium,Yes,3,53,3696,0,4,,
C00045,3,8,3.01,6,Smart TV,Comedy,South America,Delayed,Premium,No,9,34,3487,2,2,,
C00046,6,10,0.71,9,Laptop,Thriller,South America,On-Time,Standard,Yes,10,44,4510,5,1,,
C00047,24,4,3.5,3,Desktop,Documentary,Africa,On-Time,Premium,Yes,10,56,6064,0,4,,
C00048,6,7,0.58,2,Smart TV,Drama,Asia,On-Time,Premium,No,0,62,7178,1,3,,
C00049,3,1,1.48,9,Tablet,Action,Africa,Delayed,Basic,Yes,6,34,9583,0,1,,
C00050,24,1,4.83,2,Tablet,Drama,Africa,On-Time,Basic,No,5,19,7295,1,5,,
C00051,6,5,3.85,4,Desktop,Thriller,Europe,On-Time,Premium,Yes,3,63,6180,0,4,,
C00052,24,6,2.95,2,Smart TV,Romance,South America,On-Time,Standard,Yes,2,68,8261,0,2,,
C00053,24,8,1.23,3,Tablet,Comedy,North America,Delayed,Basic,No,0,56,5247,2,3,,
C00054,1,5,3.14,9,Laptop,Sci-Fi,Europe,Delayed,Basic,Yes,0,29,7004,5,3,,
C00055,3,5,1.36,4,Mobile,Romance,South America,On-Time,Standard,Yes,5,20,4544,1,1,,
C00056,1,9,2.33,5,Desktop,Action,Africa,On-Time,Premium,Yes,10,38,3267,1,1,,
C00057,1,10,3.17,9,Desktop,Action,North America,Delayed,Standard,No,6,58,8364,3,4,,
C00058,24,4,2.46,5,Smart TV,Documentary,Asia,On-Time,Basic,No,3,48,3936,1,5,,
C00059,24,2,3.95,2,Smart TV,Sci-Fi,South America,On-Time,Premium,Yes,10,64,8518,4,3,,
C00060,24,4,2.83,1,Mobile,Romance,North America,On-Time,Premium,Yes,5,18,1893,3,1,,
C00061,3,6,3.36,7,Smart TV,Sci-Fi,Europe,Delayed,Premium,No,2,41,2540,1,5,,
